wave21	wave20
-51.345	1459.0132
-53.084	1459.0526
-57.505	1459.0921
-210	1459.1316
-62.01	1459.1711
-210	1459.2105
-59.558	1459.25
-61.027	1459.2895
-74.70099999999999	1459.3289
-65.527	1459.3684
-69.11799999999999	1459.4079
-66.962	1459.4474
-210	1459.4868
-58.912	1459.5263
-57.407	1459.5658
-52.557	1459.6053
-50.653	1459.6447
-50.729	1459.6842
-51.68	1459.7237
-52.901	1459.7632
-56.833	1459.8026
-66.752	1459.8421
-64.21599999999999	1459.8816
-67.648	1459.9211
-63.685	1459.9605
-210	1460
-210	1460.0395
-65.679	1460.0789
-210	1460.1184
-64.215	1460.1579
-70.548	1460.1974
-59.308	1460.2368
-58.146	1460.2763
-51.721	1460.3158
-50.337	1460.3553
-50.029	1460.3947
-50.397	1460.4342
-50.889	1460.4737
-54.201	1460.5132
-57.105	1460.5526
-210	1460.5921
-210	1460.6316
-59.362	1460.6711
-210	1460.7105
-63.885	1460.75
-73.58499999999999	1460.7895
-66.004	1460.8289
-210	1460.8684
-74.69199999999999	1460.9079
-60.844	1460.9474
-64.44199999999999	1460.9868
-53.117	1461.0263
-50.69	1461.0658
-50.227	1461.1053
-50.412	1461.1447
-51.535	1461.1842
-53.789	1461.2237
-57.236	1461.2632
-67.398	1461.3026
-210	1461.3421
-60.565	1461.3816
-210	1461.4211
-58.902	1461.4605
-210	1461.5
-210	1461.5395
-61.83	1461.5789
-210	1461.6184
-59.545	1461.6579
-57.564	1461.6974
-51.248	1461.7368
-49.088	1461.7763
-49.036	1461.8158
-49.235	1461.8553
-50.247	1461.8947
-52.848	1461.9342
-58.338	1461.9737
-59.356	1462.0132
-210	1462.0526
-65.07899999999999	1462.0921
-59.21	1462.1316
-71.33799999999999	1462.1711
-210	1462.2105
-210	1462.25
-210	1462.2895
-210	1462.3289
-61.463	1462.3684
-60.165	1462.4079
-52.29	1462.4474
-49.325	1462.4868
-49.303	1462.5263
-49.03	1462.5658
-49.753	1462.6053
-50.854	1462.6447
-55.879	1462.6842
-57.098	1462.7237
-62.349	1462.7632
-63.112	1462.8026
-62.856	1462.8421
-76.178	1462.8816
-58.766	1462.9211
-210	1462.9605
-61.452	1463
-59.033	1463.0395
-61.96	1463.0789
-57.3	1463.1184
-52.643	1463.1579
-48.721	1463.1974
-48.342	1463.2368
-48.503	1463.2763
-49.046	1463.3158
-50.525	1463.3553
-54.629	1463.3947
-58.394	1463.4342
-210	1463.4737
-65.361	1463.5132
-67.393	1463.5526
-67.09	1463.5921
-66.738	1463.6316
-65.667	1463.6711
-210	1463.7105
-59.699	1463.75
-210	1463.7895
-58.191	1463.8289
-54.4	1463.8684
-48.835	1463.9079
-48.348	1463.9474
-48.198	1463.9868
-48.414	1464.0263
-49.103	1464.0658
-53.357	1464.1053
-57.442	1464.1447
-210	1464.1842
